NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Grupo de idade (Código),Grupo de idade
3,Unidade da Federação,2,%,0.6,26,Pernambuco,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,26,Pernambuco,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,26,Pernambuco,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,2487,27,Alagoas,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.8,27,Alagoas,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,27,Alagoas,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,27,Alagoas,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,1830,28,Sergipe,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.8,28,Sergipe,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,28,Sergipe,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,28,Sergipe,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,11652,29,Bahia,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.5,29,Bahia,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,29,Bahia,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,29,Bahia,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,16855,31,Minas Gerais,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.5,31,Minas Gerais,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,31,Minas Gerais,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,31,Minas Gerais,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,3145,32,Espírito Santo,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
